"Crear hora","Casa de apuestas","ID Padre","ID de usuario",Usuario,Tipo,"ID de transacción","Nombre de usuario del emisor",Moneda,Ingresos,Estado,Total,Comisión,Saldo,"Saldo actual",Billeteras,"Tipo de transacción","grupo causal",causal,"producto causal",Descripción,Nota,"Dirección IP"
"2024-03-01 16:03:49",pe.aciertala.com,782425139,785097086,AKIRA2014,"Player Online",94517678856,AKIRA2014shop,PEN,1000,0.00,1000,,85,1085,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,132.251.3.31
"2024-03-01 16:34:20",pe.aciertala.com,782425139,784100114,juanlucar,"Player Retail",94518679869,juanlucarshop,PEN,10,0.00,10,,10.67,20.67,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979322 Voucher Canjeado",,181.66.157.135
"2024-03-01 17:08:24",pe.aciertala.com,782425139,784017557,victorr10,"Player Retail",94519692762,victorr10shop,PEN,20,0.00,20,,0.04,20.04,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979328 Voucher Canjeado",,181.66.157.135
"2024-03-01 18:33:24",pe.aciertala.com,782425139,784989542,segun43,"Player Retail",94521723813,segun43shop,PEN,20,0.00,20,,0.43,20.43,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979337 Voucher Canjeado",,190.234.21.192
"2024-03-01 18:11:00",pe.aciertala.com,783887243,783887261,CJProceres20,Operador,94521269379,CJProceres20unknown,PEN,100,0.00,100,,2472.6,2572.6,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979334 Voucher Canjeado",,179.6.168.145
"2024-03-01 18:48:14",pe.aciertala.com,783887219,785349087,manuel987,"Player Retail",94521996546,manuel987shop,PEN,10,0.00,10,,0,10,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979343 Voucher Canjeado",,132.184.131.207
"2024-03-02 10:15:30",pe.aciertala.com,785353308,785353323,CJ_CRESPOHCO,Operador,94534049028,"Jefesoporte Aciertala Gestor",PEN,2000,0.00,2000,,0,2000,SportBooks,Deposit,"Depósito - Retiro","Ajuste de apuesta (80)",Miscellaneous,"Depósito De Sportsbook",saldo,38.25.15.40
"2024-03-02 10:10:01",pe.aciertala.com,785353212,785353242,CJ_AMARILIS2HACO,Operador,94533881955,"Jefesoporte Aciertala Gestor",PEN,2000,0.00,2000,,0,2000,SportBooks,Deposit,"Depósito - Retiro","Ajuste de apuesta (80)",Miscellaneous,"Depósito De Sportsbook",saldo,38.25.15.40
"2024-03-02 12:06:26",pe.aciertala.com,782425139,785264558,Jerry123,"Player Online",94537678995,Jerry123shop,PEN,50,0.00,50,,0,50,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,204.157.255.83
"2024-03-01 19:19:32",pe.aciertala.com,782425139,784607990,brian94,"Player Retail",94522454214,"Carolina Parra Gestor",PEN,80,0.00,80,,0.04,80.04,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","Recarga al toque",191.183.40.104
"2024-03-01 19:20:51",pe.aciertala.com,782425139,785097086,AKIRA2014,"Player Online",94522472484,AKIRA2014shop,PEN,1000,0.00,1000,,5,1005,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,132.251.3.31
"2024-03-01 19:47:20",pe.aciertala.com,782425139,785097086,AKIRA2014,"Player Online",94522797561,AKIRA2014shop,PEN,1000,0.00,1000,,0,1000,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,132.251.3.31
"2024-03-01 19:49:11",pe.aciertala.com,782425139,783141653,GA2601,"Player Retail",94522817103,GA2601shop,PEN,10,0.00,10,,0.95,10.95,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979358 Voucher Canjeado",,190.239.139.120
"2024-03-01 19:56:01",pe.aciertala.com,782425139,783047569,trelles28,"Player Retail",94522887180,trelles28shop,PEN,10,0.00,10,,0.03,10.03,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979361 Voucher Canjeado",,190.239.139.120
"2024-03-02 11:57:19",pe.aciertala.com,782425139,783893465,arieso9,"Player Retail",94537385514,arieso9shop,PEN,19,0.00,19,,0.51,19.51,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979406 Voucher Canjeado",,179.6.168.145
"2024-03-02 08:55:53",pe.aciertala.com,782425139,785348115,marlow,"Player Online",94531669698,"Maria Vargas Gestor",PEN,2,0.00,2,,0,2,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","Recarga al toque",38.25.15.40
"2024-03-02 01:23:52",pe.aciertala.com,782425139,783890702,TOMAS25,"Player Online",94524011115,TOMAS25shop,PEN,10,0.00,10,,0.32,10.32,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,38.25.15.176
"2024-03-01 23:54:22",pe.aciertala.com,782425139,784702559,pieri123,"Player Retail",94523855754,pieri123shop,PEN,12,0.00,12,,0,12,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,190.239.78.208
"2024-03-01 20:47:16",pe.aciertala.com,782425139,783588842,fredyal,"Player Retail",94523291436,fredyalshop,PEN,250,0.00,250,,0.32,250.32,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979370 Voucher Canjeado",,179.6.74.114
"2024-03-01 21:40:51",pe.aciertala.com,782425139,784621460,cortez22,"Player Retail",94523548464,cortez22shop,PEN,10,0.00,10,,0.02,10.02,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,179.7.88.18
"2024-03-02 15:58:37",pe.aciertala.com,782425139,783764231,pruebasatc,"Player Retail",94547625612,pruebasatcshop,PEN,7,0.00,7,,0.19,7.19,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979442 Voucher Canjeado",,38.25.15.40
"2024-03-02 13:22:44",pe.aciertala.com,782425139,784228805,Wuilmerchimu,"Player Retail",94540657074,Wuilmerchimushop,PEN,5,0.00,5,,0.47,5.47,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979415 Voucher Canjeado",,181.66.157.135
"2024-03-02 08:22:25",pe.aciertala.com,782425139,784128728,Kiza1617,"Player Retail",94530712914,Kiza1617shop,PEN,15,0.00,15,,0.36,15.36,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,181.66.139.227
"2024-03-02 10:40:53",pe.aciertala.com,785353563,785353575,CJ_REALPCL,Operador,94534838028,"Jefesoporte Aciertala Gestor",PEN,2000,0.00,2000,,0,2000,SportBooks,Deposit,"Depósito - Retiro","Ajuste de apuesta (80)",Miscellaneous,"Depósito De Sportsbook",saldo,38.25.15.40
"2024-03-02 10:43:55",pe.aciertala.com,785353593,785353602,CJ_LIBERTAD,Operador,94534935096,"Jefesoporte Aciertala Gestor",PEN,2000,0.00,2000,,0,2000,SportBooks,Deposit,"Depósito - Retiro","Ajuste de apuesta (80)",Miscellaneous,"Depósito De Sportsbook",saldo,38.25.15.40
"2024-03-02 10:49:33",pe.aciertala.com,785353644,785353656,CJ_OVALOHCO,Operador,94535117331,"Jefesoporte Aciertala Gestor",PEN,2000,0.00,2000,,0,2000,SportBooks,Deposit,"Depósito - Retiro","Ajuste de apuesta (80)",Miscellaneous,"Depósito De Sportsbook",saldo,38.25.15.40
"2024-03-02 10:51:57",pe.aciertala.com,785353665,785353689,CJ_OFICINALEONCIO,Operador,94535193600,"Jefesoporte Aciertala Gestor",PEN,2000,0.00,2000,,0,2000,SportBooks,Deposit,"Depósito - Retiro","Ajuste de apuesta (80)",Miscellaneous,"Depósito De Sportsbook",saldo,38.25.15.40
"2024-03-02 14:23:00",pe.aciertala.com,782425139,785342406,jose78,"Player Online",94543492440,jose78shop,PEN,10,0.00,10,,0,10,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979424 Voucher Canjeado",,179.6.168.145
"2024-03-02 13:18:57",pe.aciertala.com,782425139,784514924,tonyhorses,"Player Retail",94540478880,tonyhorsesshop,PEN,10,0.00,10,,0,10,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,190.234.175.177
"2024-03-02 17:10:58",pe.aciertala.com,782425139,784128728,Kiza1617,"Player Retail",94550256732,Kiza1617shop,PEN,10,0.00,10,,0.06,10.06,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,181.66.139.227
"2024-03-02 18:10:58",pe.aciertala.com,783791003,784023062,marcelovargas,"Player Retail",94552073121,marcelovargasshop,PEN,30,0.00,30,,0,30,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,190.237.148.180
"2024-03-02 18:27:58",pe.aciertala.com,782425139,784621460,cortez22,"Player Retail",94552542465,cortez22shop,PEN,10,0.00,10,,0.02,10.02,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,179.7.88.89
"2024-03-01 19:22:20",pe.aciertala.com,782425139,785349093,luznapita22,"Player Online",94522492683,luznapita22shop,PEN,100,0.00,100,,0,100,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,132.251.0.46
"2024-03-03 09:08:38",pe.aciertala.com,782425139,785314328,eber,"Player Online",94564924425,deleted_manager,PEN,2.5,0.00,2.5,,0.5,3,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","recarga altoque",38.25.15.40
"2024-03-03 09:48:50",pe.aciertala.com,782425139,783025189,JuniorH,"Player Online",94566182580,JuniorHshop,PEN,20,0.00,20,,0.02,20.02,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979499 Voucher Canjeado",,179.6.169.222
"2024-03-03 10:31:23",pe.aciertala.com,782425139,785276567,Adrian12345,"Player Online",94567536996,deleted_manager,PEN,5,0.00,5,,0,5,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","recarga altoque",38.25.15.40
"2024-03-03 06:52:49",pe.aciertala.com,782425139,784001096,Jose1094,"Player Retail",94560710592,Jose1094shop,PEN,250,0.00,250,,0,250,SportBooks,Deposit,"Depósito - Retiro","Alps Withdraw Rejected (1027)",Payments,"Retiro Rechazado",,173.18.85.250
"2024-03-03 05:21:33",pe.aciertala.com,783536774,783803744,ARVI0924,"Player Retail",94558194651,ARVI0924shop,PEN,10,0.00,10,,0.08,10.08,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,38.250.130.131
"2024-03-03 01:18:00",pe.aciertala.com,782425139,785314328,eber,"Player Online",94555638900,"Atencion Sei Aciertala Gestor",PEN,1.5,0.00,1.5,,0,1.5,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","Recarga al Toque",191.183.40.104
"2024-03-02 23:35:19",pe.aciertala.com,782425139,783588842,fredyal,"Player Retail",94555424814,fredyalshop,PEN,150,0.00,150,,0.32,150.32,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979490 Voucher Canjeado",,179.6.91.90
"2024-03-03 11:54:40",pe.aciertala.com,782425139,783048679,DOUGLASFC,"Player Retail",94570275747,DOUGLASFCshop,PEN,20,0.00,20,,0.3,20.3,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979505 Voucher Canjeado",,181.66.139.48
"2024-03-03 13:07:36",pe.aciertala.com,782425139,783690062,JOU1984,"Player Retail",94572753354,JOU1984shop,PEN,20,0.00,20,,0.55,20.55,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979529 Voucher Canjeado",,181.66.176.222
"2024-03-03 12:06:28",pe.aciertala.com,782425139,784100114,juanlucar,"Player Retail",94570691202,juanlucarshop,PEN,20,0.00,20,,0.67,20.67,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979517 Voucher Canjeado",,181.66.157.135
"2024-03-03 15:28:58",pe.aciertala.com,782425139,784989542,segun43,"Player Retail",94577659602,segun43shop,PEN,20,0.00,20,,0.43,20.43,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979562 Voucher Canjeado",,190.239.72.178
"2024-03-03 11:17:04",pe.aciertala.com,782425139,784784309,Cabrera27,"Player Retail",94569026487,Cabrera27shop,PEN,50,0.00,50,,0,50,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,174.206.36.161
"2024-03-03 14:27:49",pe.aciertala.com,782425139,784228805,Wuilmerchimu,"Player Retail",94575612027,Wuilmerchimushop,PEN,5,0.00,5,,0.47,5.47,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979541 Voucher Canjeado",,181.66.157.135
"2024-03-03 14:55:47",pe.aciertala.com,782425139,783897944,rafa43,"Player Retail",94576572399,rafa43shop,PEN,6,0.00,6,,0.27,6.27,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979550 Voucher Canjeado",,179.6.168.145
"2024-03-03 19:27:26",pe.aciertala.com,782425139,784100114,juanlucar,"Player Retail",94582905525,juanlucarshop,PEN,10,0.00,10,,0.67,10.67,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979595 Voucher Canjeado",,181.66.157.135
"2024-03-03 20:41:43",pe.aciertala.com,782425139,784100114,juanlucar,"Player Retail",94583462826,juanlucarshop,PEN,20,0.00,20,,0.67,20.67,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979598 Voucher Canjeado",,181.66.157.135
"2024-03-04 00:03:09",pe.aciertala.com,782425139,785362401,Miguel999,"Player Online",94584029949,"Atencion Sei Aciertala Gestor",PEN,10,0.00,10,,7,17,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","Recarga Al Toque",191.183.40.104
"2024-03-04 09:53:13",pe.aciertala.com,782425139,784770680,Barco99,"Player Retail",94593488004,Barco99shop,PEN,10,0.00,10,,0.05,10.05,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,181.176.22.43
"2024-03-04 12:51:43",pe.aciertala.com,782425139,783588842,fredyal,"Player Retail",94599009099,fredyalshop,PEN,150,0.00,150,,3.5,153.5,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979628 Voucher Canjeado",,190.239.139.120
"2024-03-04 12:47:34",pe.aciertala.com,782425139,784100114,juanlucar,"Player Retail",94598862867,juanlucarshop,PEN,20,0.00,20,,20.67,40.67,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979625 Voucher Canjeado",,181.66.157.39
"2024-03-04 06:35:36",pe.aciertala.com,783765638,784904822,EFERTH99,"Player Retail",94588113747,"Atencion Sei Aciertala Gestor",PEN,20,0.00,20,,0.01,20.01,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","Recarga Al Toque",191.183.40.104
"2024-03-04 16:29:44",pe.aciertala.com,782425139,783895004,JOEL88,"Player Retail",94606750686,JOEL88shop,PEN,10,0.00,10,,0.37,10.37,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979658 Voucher Canjeado",,179.6.168.145
"2024-03-04 18:32:25",pe.aciertala.com,782425139,785264558,Jerry123,"Player Online",94609617633,Jerry123shop,PEN,100,0.00,100,,0,100,SportBooks,Deposit,"Depósito - Retiro","Alps Withdraw Rejected (1027)",Payments,"Retiro Rechazado",,204.157.255.83
"2024-03-04 17:27:32",pe.aciertala.com,783887243,783887261,CJProceres20,Operador,94608289851,CJProceres20unknown,PEN,50,0.00,50,,2668.6,2718.6,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979670 Voucher Canjeado",,179.6.168.145
"2024-03-04 17:16:47",pe.aciertala.com,783887243,783887261,CJProceres20,Operador,94608017073,CJProceres20unknown,PEN,224,0.00,224,,2444.6,2668.6,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979667 Voucher Canjeado",,179.6.168.145
"2024-03-04 18:42:59",pe.aciertala.com,782425139,785264558,Jerry123,"Player Online",94609789452,Jerry123shop,PEN,100,0.00,100,,0,100,SportBooks,Deposit,"Depósito - Retiro","Alps Withdraw Rejected (1027)",Payments,"Retiro Rechazado",,204.157.255.83
"2024-03-04 18:37:59",pe.aciertala.com,782425139,785344119,Carlos1414,"Player Online",94609711272,Carlos1414shop,PEN,100,0.00,100,,0,100,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979673 Voucher Canjeado",,82.145.211.121
"2024-03-04 21:33:47",pe.aciertala.com,782425139,784017557,victorr10,"Player Retail",94611185340,victorr10shop,PEN,10,0.00,10,,0.04,10.04,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979691 Voucher Canjeado",,181.66.157.39
"2024-03-05 08:11:59",pe.aciertala.com,782425139,785270336,Irazabal111,"Player Online",94617830028,deleted_manager,PEN,20,0.00,20,,0.95,20.95,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","Recarga Al Toque",191.183.40.104
"2024-03-04 19:22:31",pe.aciertala.com,782425139,784258178,oswaldochimu,"Player Retail",94610328861,oswaldochimushop,PEN,15,0.00,15,,0.57,15.57,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979685 Voucher Canjeado",,181.66.157.39
"2024-03-05 10:09:37",pe.aciertala.com,782425139,785368380,limber100,"Player Online",94620963612,limber100shop,PEN,50,0.00,50,,0,50,SportBooks,Deposit,"Depósito - Retiro","Inswitch BCP PE - Deposit (1533)",Payments,Depósito,,190.232.201.83
"2024-03-05 11:16:27",pe.aciertala.com,782425139,783854954,CRISTHIANMIGUEL,"Player Retail",94622697171,CRISTHIANMIGUELshop,PEN,7,0.00,7,,0.1,7.1,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979718 Voucher Canjeado",,179.7.89.92
"2024-03-05 11:05:22",pe.aciertala.com,782425139,784770680,Barco99,"Player Retail",94622404368,Barco99shop,PEN,10,0.00,10,,0.1,10.1,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,181.176.22.186
"2024-03-05 15:05:40",pe.aciertala.com,782425139,784373159,micky,"Player Retail",94630971927,mickyshop,PEN,20,0.00,20,,0.48,20.48,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979766 Voucher Canjeado",,179.7.88.225
"2024-03-05 12:04:52",pe.aciertala.com,782425139,784770680,Barco99,"Player Retail",94624175592,Barco99shop,PEN,10,0.00,10,,0.1,10.1,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,181.176.22.186
"2024-03-05 12:10:04",pe.aciertala.com,782425139,783914582,juver16,"Player Retail",94624345260,juver16shop,PEN,5,0.00,5,,0.83,5.83,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979736 Voucher Canjeado",,179.6.168.145
"2024-03-05 12:25:38",pe.aciertala.com,782425139,783588842,fredyal,"Player Retail",94624855836,fredyalshop,PEN,200,0.00,200,,0.05,200.05,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979742 Voucher Canjeado",,190.239.139.120
"2024-03-05 13:53:41",pe.aciertala.com,782425139,783933485,tabara123,"Player Retail",94628177805,"Carolina Parra Gestor",PEN,10,0.00,10,,0.29,10.29,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","Recarga al toque",191.183.40.104
"2024-03-05 20:35:23",pe.aciertala.com,782425139,784373159,micky,"Player Retail",94638249201,mickyshop,PEN,20,0.00,20,,0.73,20.73,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979787 Voucher Canjeado",,38.25.31.16
"2024-03-05 21:46:55",pe.aciertala.com,782425139,784268852,Jiltair,"Player Online",94638564606,Jiltairshop,PEN,10,0.00,10,,0,10,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,190.236.15.2
"2024-03-05 19:05:34",pe.aciertala.com,783887204,783887219,CJChimu7,Operador,94637442600,CJChimu7unknown,PEN,50,0.00,50,,1729,1779,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979754 Voucher Canjeado",,181.66.157.39
"2024-03-05 19:13:55",pe.aciertala.com,782425139,783890702,TOMAS25,"Player Online",94637550858,TOMAS25shop,PEN,21,0.00,21,,0.32,21.32,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,179.7.89.45
"2024-03-05 23:03:56",pe.aciertala.com,782425139,784240985,Wandwr13,"Player Retail",94638733500,Wandwr13shop,PEN,10,0.00,10,,0.73,10.73,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,179.6.82.54
"2024-03-06 07:14:29",pe.aciertala.com,782425139,784268852,Jiltair,"Player Online",94643588517,Jiltairshop,PEN,10,0.00,10,,0,10,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,190.239.65.218
"2024-03-06 10:16:21",pe.aciertala.com,782425139,785356599,Sama,"Player Online",94648370436,deleted_manager,PEN,6,0.00,6,,0,6,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","recarga altoque",38.25.15.40
"2024-03-06 10:03:06",pe.aciertala.com,783887261,785377512,yuver01,"Player Retail",94647987255,yuver01shop,PEN,20,0.00,20,,0,20,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979970 Voucher Canjeado",,179.6.168.145
"2024-03-06 11:53:31",pe.aciertala.com,782425139,783298768,ARTURO123,"Player Retail",94651339026,ARTURO123shop,PEN,5,0.00,5,,0,5,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979982 Voucher Canjeado",,190.232.205.143
"2024-03-06 12:48:27",pe.aciertala.com,782425139,785377002,Fernando123,"Player Online",94653336273,deleted_manager,PEN,30,0.00,30,,0,30,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","recarga altoque",38.25.15.40
"2024-03-06 12:35:31",pe.aciertala.com,782425139,784770680,Barco99,"Player Retail",94652854116,Barco99shop,PEN,15,0.00,15,,0.1,15.1,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,181.176.22.101
"2024-03-06 14:03:02",pe.aciertala.com,782425139,784744304,Renzorafa,"Player Retail",94656186753,Renzorafashop,PEN,10,0.00,10,,0.01,10.01,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,190.232.101.224
